Name,Team,Position,Week,Opponent,Salary,Snap%,TmSnaps,OppSnap,Proj Snaps,FPts/Snap,ProjPts,Proj Value
K.J. Osborn,MIN,WR,1,GB,4900,67.8,63.70588235,63.12888889,42.99698745,0.14,6.969526671,1.422352382
Corey Davis,NYJ,WR,1,BAL,4900,55.6,60.82322581,69.81395349,36.31713584,0.158,8.286338168,1.691089422
DeVante Parker,NE,WR,1,MIA,4800,62.4,61.93593074,64.66187683,39.49851596,0.118,4.396930069,0.9160270977
Nick Westbrook-Ikhine,TEN,WR,1,NYG,4800,55.8,66.51980907,61.86046512,35.8180965,0.105,4.576770761,0.9534939086
Kenny Golladay,NYG,WR,1,TEN,4800,60.5,61.86046512,66.51980907,38.83503294,0.078,4.713923883,0.9820674757
Robbie Anderson,CAR,WR,1,CLE,4800,85.1,65.12302632,61.91117479,54.05305257,0.087,6.511115858,1.356482471
Tyler Boyd,CIN,WR,1,PIT,4800,73.5,61.62304348,65.54693878,46.73496848,0.145,8.085447241,1.684468175
DJ Chark,DET,WR,1,PHI,4800,66.5,62.06030769,63.19256757,41.64658102,0.162,9.422255404,1.962969876
Sammy Watkins,GB,WR,1,MIN,4700,36.9,63.12888889,63.70588235,23.40101529,0.095,2.78361509,0.5922585298
Marquez Valdes-Scantling,KC,WR,1,ARI,4700,57.4,66.6225,66.20579065,38.12171942,0.134,6.427281222,1.367506643
Mecole Hardman,KC,WR,1,ARI,4600,52.1,66.6225,66.20579065,34.60176971,0.131,5.703213514,1.239829025
A.J. Green,ARI,WR,1,KC,4600,75.7,66.20579065,66.6225,50.27550801,0.116,7.512129439,1.633071617
Donovan Peoples-Jones,CLE,WR,1,CAR,4400,63.1,61.91117479,65.12302632,40.07929045,0.108,4.965358415,1.128490549
Byron Pringle,CHI,WR,1,SF,4400,49,63.25562701,61.48618267,30.56174337,0.145,4.98268892,1.1324293
Marvin Jones Jr.,JAX,WR,1,WAS,4400,90.3,60.54229249,62.92238806,55.74430327,0.109,10.71781076,2.435866083
Terrace Marshall Jr.,CAR,WR,1,CLE,4300,39.2,65.12302632,61.91117479,24.89870342,0.037,1.275540938,0.2966374274
Jakobi Meyers,NE,WR,1,MIA,4300,84.3,61.93593074,64.66187683,53.36097589,0.111,5.587705581,1.299466414
Tre'Quan Smith,NO,WR,1,ATL,4300,65.2,61.78956044,59.13865815,39.42259926,0.107,5.916798183,1.375999577
Darius Slayton,NYG,WR,1,TEN,4200,48.7,61.86046512,66.51980907,31.26059676,0.079,3.84316155,0.9150384644
Bryan Edwards,ATL,WR,1,NO,4200,71.1,59.13865815,61.78956044,42.98998171,0.093,4.662576205,1.110137192
Nico Collins,HOU,WR,1,IND,4200,59.2,59.51785714,61.81374723,35.91415489,0.094,4.688743309,1.116367454
Kendrick Bourne,NE,WR,1,MIA,4200,51.8,61.93593074,64.66187683,32.78883216,0.219,6.774181618,1.612900385
Kadarius Toney,NYG,WR,1,TEN,4100,27.3,61.86046512,66.51980907,17.52390743,0.144,3.926971301,0.9577978783
Zay Jones,JAX,WR,1,WAS,4100,56.1,60.54229249,62.92238806,34.63184289,0.092,5.620080355,1.370751306
Olamide Zaccheaus,ATL,WR,1,NO,4000,58,59.13865815,61.78956044,35.06918339,0.096,3.926201822,0.9815504555
Rondale Moore,ARI,WR,1,KC,4000,36.9,66.20579065,66.6225,24.50681962,0.128,4.04059693,1.010149233
Braxton Berrios,NYJ,WR,1,BAL,4000,36.6,60.82322581,69.81395349,23.90660381,0.177,6.110617876,1.527654469
Laviska Shenault Jr.,JAX,WR,1,WAS,3900,64.2,60.54229249,62.92238806,39.63216246,0.092,6.431535808,1.649111746
Cedrick Wilson Jr.,MIA,WR,1,NE,3900,43,64.66187683,61.93593074,27.21852863,0.195,7.606764502,1.950452436
Joshua Palmer,LAC,WR,1,LV,3800,38.3,66.39493671,63.64705882,24.90304214,0.131,3.925015563,1.032898832
Devin Duvernay,BAL,WR,1,NYJ,3800,48.6,69.81395349,60.82322581,31.74483457,0.083,4.008381212,1.054837161
Laquon Treadwell,JAX,WR,1,WAS,3700,65.5,60.54229249,62.92238806,40.43468288,0.102,7.275005203,1.966217622
Josh Reynolds,DET,WR,1,PHI,3600,39.8,62.06030769,63.19256757,24.92532218,0.109,3.794266072,1.053962798
Damiere Byrd,ATL,WR,1,NO,3500,55.3,59.13865815,61.78956044,33.43665244,0.063,2.456626172,0.7018931921
Cam Sims,WAS,WR,1,JAX,3500,25.5,62.92238806,60.54229249,15.74174677,0.118,2.860784239,0.8173669254
Keelan Cole,LV,WR,1,LAC,3500,50.1,63.64705882,66.39493671,32.57551988,0.091,4.262110357,1.217745816
Kalif Raymond,DET,WR,1,PHI,3500,67.3,62.06030769,63.19256757,42.14759252,0.114,6.71024115,1.917211757
Marquez Callaway,NO,WR,1,ATL,3500,76.4,61.78956044,59.13865815,46.1945795,0.127,8.229102317,2.351172091
Rashard Higgins,CAR,WR,1,CLE,3400,46,65.12302632,61.91117479,29.21786625,0.066,2.669982272,0.7852889035
Antoine Wesley,ARI,WR,1,KC,3400,39.2,66.20579065,66.6225,26.03434497,0.085,2.850454982,0.8383691124
Nelson Agholor,NE,WR,1,MIA,3400,63.9,61.93593074,64.66187683,40.44799952,0.094,3.586837265,1.054952137
Demarcus Robinson,BAL,WR,1,NYJ,3400,58.2,69.81395349,60.82322581,38.01541917,0.064,3.70132836,1.088625988
Quez Watkins,PHI,WR,1,DET,3400,68.8,63.19256757,62.06030769,43.08698909,0.095,5.599781433,1.646994539
Randall Cobb,GB,WR,1,MIN,3400,47.1,63.12888889,63.70588235,29.86958863,0.177,6.619929802,1.947038177
Chris Conley,HOU,WR,1,IND,3300,58.4,59.51785714,61.81374723,35.42882848,0.068,3.346020958,1.013945745
Parris Campbell,IND,WR,1,HOU,3300,39.4,61.81374723,59.51785714,23.90232606,0.125,4.025743841,1.219922376
Anthony Schwartz,CLE,WR,1,CAR,3200,26.6,61.91117479,65.12302632,16.89554875,0.079,1.531109376,0.4784716799
Jalen Guyton,LAC,WR,1,LV,3200,51.3,66.39493671,63.64705882,33.35577185,0.108,4.334234793,1.354448373
Tajae Sharpe,CHI,WR,1,SF,3100,48.5,63.25562701,61.48618267,30.24988885,0.045,1.530572635,0.4937331079
DeAndre Carter,LAC,WR,1,LV,3100,44.8,66.39493671,63.64705882,29.129407,0.112,3.925250252,1.266209759
Jauan Jennings,SF,WR,1,CHI,3100,30.9,61.48618267,63.25562701,19.2726096,0.173,3.976631715,1.282784424
Jalen Camp,HOU,WR,1,IND,3000,33.9,59.51785714,61.81374723,20.56570694,0,0,0
Preston Williams,MIA,WR,1,NE,3000,15.2,64.66187683,61.93593074,9.621433375,0.045,0.6205160309,0.206838677
David Sills V,NYG,WR,1,TEN,3000,37.1,61.86046512,66.51980907,23.81454086,0.017,0.6300215709,0.2100071903
Juwann Winfree,GB,WR,1,MIN,3000,31.4,63.12888889,63.70588235,19.91305908,0.027,0.6732132002,0.2244044001
Keith Kirkwood,CAR,WR,1,CLE,3000,35.2,65.12302632,61.91117479,22.35801939,0.023,0.7119952725,0.2373317575
Ty Montgomery,NE,WR,1,MIA,3000,27.5,61.93593074,64.66187683,17.40719854,0.046,0.7553939235,0.2517979745
Equanimeous St. Brown,CHI,WR,1,SF,3000,29.3,63.25562701,61.48618267,18.27467512,0.038,0.7808199639,0.2602733213
Trinity Benson,DET,WR,1,PHI,3000,25.3,62.06030769,63.19256757,15.84448872,0.037,0.8187295353,0.2729098451
Denzel Mims,NYJ,WR,1,BAL,3000,25.1,60.82322581,69.81395349,16.394966,0.048,1.136437964,0.3788126546
Cody Hollister,TEN,WR,1,NYG,3000,68.7,66.51980907,61.86046512,44.09862418,0.022,1.180633441,0.3935444802
N'Keal Harry,CHI,WR,1,SF,3000,36.2,63.25562701,61.48618267,22.57826755,0.05,1.269340879,0.4231136264
Dyami Brown,WAS,WR,1,JAX,3000,29.7,62.92238806,60.54229249,18.33450506,0.048,1.355378535,0.4517928449
Dez Fitzpatrick,TEN,WR,1,NYG,3000,18.1,66.51980907,61.86046512,11.61841481,0.11,1.555274038,0.5184246792
Anthony Miller,PIT,WR,1,CIN,3000,24.7,65.54693878,61.62304348,15.70549281,0.089,1.667120562,0.5557068541
Ray-Ray McCloud III,SF,WR,1,CHI,3000,45.9,61.48618267,63.25562701,28.62824532,0.051,1.741380396,0.5804601319
Lil'Jordan Humphrey,NE,WR,1,MIA,3000,19.8,61.93593074,64.66187683,12.53318295,0.171,2.021828258,0.6739427526
Marcus Johnson,SF,WR,1,CHI,3000,43.8,61.48618267,63.25562701,27.31845632,0.079,2.574020439,0.8580068129
Brandon Zylstra,CAR,WR,1,CLE,3000,35,65.12302632,61.91117479,22.23098519,0.093,2.862579807,0.9541932691
Mohamed Sanu,MIA,WR,1,NE,3000,47.3,64.66187683,61.93593074,29.94038149,0.074,3.175336566,1.058445522
Jason Moore Jr.,LAC,WR,1,LV,3000,39.8,66.39493671,63.64705882,25.87835711,0.106,3.300351914,1.100117305
Chris Moore,HOU,WR,1,IND,3000,27.3,59.51785714,61.81374723,16.561764,0.145,3.335320297,1.111773432
Jalen Reagor,PHI,WR,1,DET,3000,67,63.19256757,62.06030769,41.95971321,0.06,3.444174015,1.148058005
Mack Hollins,LV,WR,1,LAC,3000,29.5,63.64705882,66.39493671,19.18119434,0.136,3.750649635,1.250216545
Zach Pascal,PHI,WR,1,DET,3000,78.3,63.19256757,62.06030769,49.03650066,0.065,4.36047852,1.45349284
Kristian Wilkerson,NE,WR,1,MIA,3000,33.8,61.93593074,64.66187683,21.39502948,0.242,4.884442795,1.628147598
Dante Pettis,CHI,WR,1,SF,3000,39.6,63.25562701,61.48618267,24.69887832,0.187,5.19321717,1.73107239
Calvin Ridley,ATL,WR,1,NO,3000,62.8,59.13865815,61.78956044,37.97146064,0.134,5.93386738,1.977955793
Deonte Harty,NO,WR,1,ATL,3000,31.1,61.78956044,59.13865815,18.80433799,0.259,6.831491555,2.277163852
Jamal Agnew,JAX,WR,1,WAS,3000,40.6,60.54229249,62.92238806,25.06333015,0.177,7.825122346,2.608374115
Quintez Cephus,DET,WR,1,PHI,3000,60.4,62.06030769,63.19256757,37.82636833,0.162,8.557958292,2.852652764
Mark Andrews,BAL,TE,1,NYJ,6800,75.4,69.81395349,60.82322581,49.25021659,0.207,15.50944823,2.280801211
Travis Kelce,KC,TE,1,ARI,6600,77.5,66.6225,66.20579065,51.47096263,0.184,11.9159902,1.805453061
George Kittle,SF,TE,1,CHI,5900,91.9,61.48618267,63.25562701,57.31886155,0.151,10.32293631,1.749650222
Kyle Pitts,ATL,TE,1,NO,5700,73.6,59.13865815,61.78956044,44.50158444,0.14,7.265729809,1.27468944
Darren Waller,LV,TE,1,LAC,5400,53.3,63.64705882,66.39493671,34.65619181,0.129,6.427802018,1.190333707
T.J. Hockenson,DET,TE,1,PHI,4900,77.6,62.06030769,63.19256757,48.5981156,0.128,8.687401697,1.772939122
Mike Gesicki,MIA,TE,1,NE,4800,71.8,64.66187683,61.93593074,45.44861292,0.111,7.230100385,1.506270914
Taysom Hill,NO,TE,1,ATL,4600,39.5,61.78956044,59.13865815,23.88332317,0.273,9.145661545,1.988187292
Dallas Goedert,PHI,TE,1,DET,4500,69.7,63.19256757,62.06030769,43.65062703,0.14,8.360261204,1.857835823
Zach Ertz,ARI,TE,1,KC,4400,74.3,66.20579065,66.6225,49.34570997,0.126,8.008820364,1.820186446
Pat Freiermuth,PIT,TE,1,CIN,4200,58.2,65.54693878,61.62304348,37.00646484,0.134,5.914361025,1.408181196
David Njoku,CLE,TE,1,CAR,3900,60.5,61.91117479,65.12302632,38.42784583,0.107,4.71668247,1.209405762
Robert Tonyan,GB,TE,1,MIN,3900,60.1,63.12888889,63.70588235,38.11384876,0.106,5.058707258,1.297104425
Gerald Everett,LAC,TE,1,LV,3800,65.6,66.39493671,63.64705882,42.65377453,0.107,5.491094661,1.445024911
Hunter Henry,NE,TE,1,MIA,3800,67.8,61.93593074,64.66187683,42.91665677,0.153,6.194469032,1.630123429
Cole Kmet,CHI,TE,1,SF,3700,83.3,63.25562701,61.48618267,51.95496373,0.065,3.797152591,1.026257457
Austin Hooper,TEN,TE,1,NYG,3700,64.8,66.51980907,61.86046512,41.59520884,0.076,3.847018373,1.039734695
C.J. Uzomah,NYJ,TE,1,BAL,3600,73,60.82322581,69.81395349,47.68257044,0.099,6.816929918,1.893591644
Evan Engram,JAX,TE,1,WAS,3500,65.6,60.54229249,62.92238806,40.49641522,0.078,5.571732768,1.591923648
Tyler Conklin,NYJ,TE,1,BAL,3500,81,60.82322581,69.81395349,52.90805761,0.084,6.417931529,1.833694723
Mo Alie-Cox,IND,TE,1,HOU,3400,54.8,61.81374723,59.51785714,33.2448596,0.091,4.076259774,1.198899933
Hayden Hurst,CIN,TE,1,PIT,3300,47.3,61.62304348,65.54693878,30.0757008,0.093,3.337281151,1.011297318
Ricky Seals-Jones,NYG,TE,1,TEN,3300,47.5,61.86046512,66.51980907,30.49031512,0.077,3.653565714,1.107141125
Anthony Firkser,ATL,TE,1,NO,3200,33.4,59.13865815,61.78956044,20.1950125,0.114,2.684878962,0.8390246755
Foster Moreau,LV,TE,1,LAC,3200,65.6,63.64705882,66.39493671,42.65377453,0.074,4.538173876,1.418179336
Logan Thomas,WAS,TE,1,JAX,3200,73.9,62.92238806,60.54229249,45.62019946,0.121,8.501444529,2.656701415
Tommy Tremble,CAR,TE,1,CLE,3100,45.3,65.12302632,61.91117479,28.77324655,0.064,2.54967477,0.8224757324
John Bates,WAS,TE,1,JAX,3100,46.1,62.92238806,60.54229249,28.45860887,0.06,2.629753807,0.8483076797
Brevin Jordan,HOU,TE,1,IND,3100,21.8,59.51785714,61.81374723,13.22514488,0.154,2.8286819,0.9124780322
Adam Trautman,NO,TE,1,ATL,3100,71.9,61.78956044,59.13865815,43.47369458,0.057,3.475834813,1.121237037
Drew Sample,CIN,TE,1,PIT,3000,41.7,61.62304348,65.54693878,26.5149413,0.018,0.5694521885,0.1898173962
Ian Thomas,CAR,TE,1,CLE,3000,61.2,65.12302632,61.91117479,38.87246554,0.027,1.45318798,0.4843959932
Geoff Swaim,TEN,TE,1,NYG,3000,60.7,66.51980907,61.86046512,38.96341322,0.054,2.560460693,0.8534868978
Josiah Deguara,GB,TE,1,MIN,2900,32.9,63.12888889,63.70588235,20.86431987,0.099,2.58636791,0.8918510035
Harrison Bryant,CLE,TE,1,CAR,2900,36.3,61.91117479,65.12302632,23.0567075,0.103,2.724214735,0.9393843915
Zach Gentry,PIT,TE,1,CIN,2800,40.3,65.54693878,61.62304348,25.62475142,0.035,1.069678185,0.382027923
Jonnu Smith,NE,TE,1,MIA,2800,47.6,61.93593074,64.66187683,30.1302782,0.075,2.131823167,0.7613654169
Donald Parham Jr.,LAC,TE,1,LV,2800,40.9,66.39493671,63.64705882,26.59358809,0.098,3.135600299,1.11985725
Dan Arnold,JAX,TE,1,WAS,2800,49.9,60.54229249,62.92238806,30.8044378,0.112,6.085698111,2.173463611
Tyler Kroft,SF,TE,1,CHI,2700,47.1,61.48618267,63.25562701,29.37669618,0.064,2.242392697,0.8305158138
Ryan Griffin,CHI,TE,1,SF,2700,61.6,63.25562701,61.48618267,38.42047738,0.065,2.807978387,1.039991995
Maxx Williams,ARI,TE,1,KC,2700,65.8,66.20579065,66.6225,43.70050762,0.114,6.417116721,2.376709897
Pharaoh Brown,HOU,TE,1,IND,2600,56.8,59.51785714,61.81374723,34.45817564,0.025,1.196451894,0.4601738053
Chris Manhertz,JAX,TE,1,WAS,2600,36,60.54229249,62.92238806,22.2236425,0.034,1.332825381,0.5126251464
Durham Smythe,MIA,TE,1,NE,2600,62,64.66187683,61.93593074,39.24532035,0.05,2.812280257,1.081646253
James O'Shaughnessy,CHI,TE,1,SF,2600,49.7,63.25562701,61.48618267,30.99833971,0.092,3.2065935,1.233305192
Noah Togiai,PHI,TE,1,DET,2500,12.8,63.19256757,62.06030769,8.016184017,0,0,0
Jack Stoll,PHI,TE,1,DET,2500,29.6,63.19256757,62.06030769,18.53742554,0.007,0.1775206109,0.07100824437
Tre' McKitty,LAC,TE,1,LV,2500,19.8,66.39493671,63.64705882,12.87415756,0.019,0.2942998933,0.1177199573
Richard Rodgers,PHI,TE,1,DET,2500,33.2,63.19256757,62.06030769,20.79197729,0.016,0.4551107554,0.1820443022
Blake Bell,KC,TE,1,ARI,2500,26.9,66.6225,66.20579065,17.86540509,0.03,0.674348113,0.2697392452
Adam Shaheen,MIA,TE,1,NE,2500,32.2,64.66187683,61.93593074,20.38224702,0.03,0.8763428156,0.3505371262
Jacob Hollister,LV,TE,1,LAC,2500,16,63.64705882,66.39493671,10.40335964,0.066,0.9872098741,0.3948839496
Shane Zylstra,DET,TE,1,PHI,2500,31.2,62.06030769,63.19256757,19.53944854,0.041,1.118810834,0.4475243335
Marcedes Lewis,GB,TE,1,MIN,2500,42.8,63.12888889,63.70588235,27.14264105,0.045,1.529380306,0.6117521225
Stephen Anderson,ARI,TE,1,KC,2500,28.8,66.20579065,66.6225,19.12727385,0.065,1.6014561,0.6405824402
Nick Vannett,NO,TE,1,ATL,2500,39.9,61.78956044,59.13865815,24.12517961,0.085,2.87638625,1.1505545
Brock Wright,DET,TE,1,PHI,2500,43.8,62.06030769,63.19256757,27.43037968,0.079,3.026351819,1.210540728
Jonathan Taylor,IND,RB,1,HOU,9100,68.9,61.81374723,59.51785714,41.79873771,0.434,24.44268178,2.686008987
Derrick Henry,TEN,RB,1,NYG,8600,71.1,66.51980907,61.86046512,45.63918747,0.427,23.71554656,2.757621693
Christian McCaffrey,CAR,RB,1,CLE,8500,86,65.12302632,61.91117479,54.62470647,0.333,25.18542566,2.962991254
Austin Ekeler,LAC,RB,1,LV,8200,61.1,66.39493671,63.64705882,39.72782964,0.375,17.92436551,2.185898233
Dalvin Cook,MIN,RB,1,GB,7900,53.3,63.70588235,63.12888889,33.80146654,0.283,11.07539437,1.401948654
Alvin Kamara,NO,RB,1,ATL,7600,57.5,61.78956044,59.13865815,34.76686284,0.299,14.58123857,1.918584022
Joe Mixon,CIN,RB,1,PIT,7100,63.5,61.62304348,65.54693878,40.37646937,0.352,16.95762765,2.388398261
James Conner,ARI,RB,1,KC,7000,51,66.20579065,66.6225,33.87121411,0.369,16.09925339,2.299893342
D'Andre Swift,DET,RB,1,PHI,6800,50.8,62.06030769,63.19256757,31.81423032,0.262,11.64081041,1.711883884
Aaron Jones,GB,RB,1,MIN,6700,51.8,63.12888889,63.70588235,32.85020575,0.306,12.58665699,1.87860552
Nick Chubb,CLE,RB,1,CAR,6500,43.5,61.91117479,65.12302632,27.62993874,0.405,12.83635644,1.974824068
Najee Harris,PIT,RB,1,CIN,6400,83.5,65.54693878,61.62304348,53.09346759,0.231,14.62778282,2.285591065
Josh Jacobs,LV,RB,1,LAC,6300,54.8,63.64705882,66.39493671,35.63150678,0.275,14.08830758,2.236239298
Alexander Mattison,MIN,RB,1,GB,6200,33,63.70588235,63.12888889,20.92773725,0.249,6.033354473,0.9731216892
Saquon Barkley,NYG,RB,1,TEN,6100,46.6,61.86046512,66.51980907,29.91260389,0.21,9.775473431,1.602536628
David Montgomery,CHI,RB,1,SF,6000,74.6,63.25562701,61.48618267,46.52869501,0.238,12.45132234,2.07522039
Mark Ingram II,NO,RB,1,ATL,5900,34.6,61.78956044,59.13865815,20.92058182,0.204,5.986343715,1.014634528
Cordarrelle Patterson,ATL,RB,1,NO,5800,45,59.13865815,61.78956044,27.20884918,0.386,12.24822659,2.111763205
Antonio Gibson,WAS,RB,1,JAX,5800,53.6,62.92238806,60.54229249,33.08853439,0.31,15.79753769,2.723713395
Kareem Hunt,CLE,RB,1,CAR,5700,29.4,61.91117479,65.12302632,18.67402756,0.376,8.05439016,1.413050905
Damien Harris,NE,RB,1,MIA,5700,36.7,61.93593074,64.66187683,23.23069769,0.473,10.36597522,1.818592144
James Robinson,JAX,RB,1,WAS,5600,0,60.54229249,62.92238806,0,0.27,0,0
Rhamondre Stevenson,NE,RB,1,MIA,5500,24,61.93593074,64.66187683,15.19173691,0.381,5.460333625,0.9927879319
Miles Sanders,PHI,RB,1,DET,5400,45.6,63.19256757,62.06030769,28.55765556,0.214,8.360603908,1.548259983
Chuba Hubbard,CAR,RB,1,CLE,5400,40.5,65.12302632,61.91117479,25.72442572,0.242,8.619399291,1.596185054
Elijah Mitchell,SF,RB,1,CHI,5400,40.4,61.48618267,63.25562701,25.19784556,0.331,9.947642019,1.84215593
Clyde Edwards-Helaire,KC,RB,1,ARI,5400,41.8,66.6225,66.20579065,27.76111274,0.288,10.05956917,1.86288318
AJ Dillon,GB,RB,1,MIN,5300,42.7,63.12888889,63.70588235,27.07922366,0.318,10.78236938,2.034409317
Jamaal Williams,DET,RB,1,PHI,5200,28.8,62.06030769,63.19256757,18.03641404,0.296,7.455940116,1.433834638
Chase Edmonds,MIA,RB,1,NE,5200,52.6,64.66187683,61.93593074,33.29522339,0.211,10.06850763,1.936251468
Jeff Wilson Jr.,SF,RB,1,CHI,5100,35.5,61.48618267,63.25562701,22.14167122,0.195,5.149603054,1.009726089
Nyheim Hines,IND,RB,1,HOU,5100,31.6,61.81374723,59.51785714,19.17039349,0.206,5.321011595,1.043335607
J.D. McKissic,WAS,RB,1,JAX,5100,38.5,62.92238806,60.54229249,23.76695101,0.248,9.077689569,1.779939131
Michael Carter,NYJ,RB,1,BAL,5100,48.8,60.82322581,69.81395349,31.87547175,0.264,12.15218922,2.382782201
Rex Burkhead,HOU,RB,1,IND,4900,35.5,59.51785714,61.81374723,21.53635978,0.21,6.281372442,1.281912743
Darrel Williams,ARI,RB,1,KC,4900,47.5,66.20579065,66.6225,31.54671903,0.262,10.64643225,2.172741275
Sony Michel,MIA,RB,1,NE,4700,49.4,64.66187683,61.93593074,31.26965847,0.233,10.44190588,2.221682101
Dontrell Hilliard,TEN,RB,1,NYG,4500,35.3,66.51980907,61.86046512,22.65911839,0.271,7.472736326,1.660608072
Myles Gaskin,MIA,RB,1,NE,4500,49.8,64.66187683,61.93593074,31.52285408,0.217,9.803608976,2.178579772
Brandon Bolden,LV,RB,1,LAC,4400,31,63.64705882,66.39493671,20.15650931,0.243,7.042284073,1.600519108
Mike Davis,BAL,RB,1,NYJ,4400,56.5,69.81395349,60.82322581,36.90500315,0.159,8.926890926,2.028838847
D'Onta Foreman,CAR,RB,1,CLE,4400,38,65.12302632,61.91117479,24.13649821,0.369,12.33151891,2.802617935
Jason Huntley,PHI,RB,1,DET,4000,11.5,63.19256757,62.06030769,7.202040327,0.165,1.625701541,0.4064253852
Ty Johnson,NYJ,RB,1,BAL,4000,36.8,60.82322581,69.81395349,24.03724099,0.203,7.046519061,1.761629765
Craig Reynolds,DET,RB,1,PHI,4000,37.2,62.06030769,63.19256757,23.2970348,0.239,7.776050157,1.944012539
Patrick Mahomes,KC,QB,1,ARI,7700,100,66.6225,66.20579065,66.41414532,0.311,25.98788886,3.375050502
Justin Herbert,LAC,QB,1,LV,7600,100,66.39493671,63.64705882,65.02099777,0.32,25.03348375,3.293879441
Lamar Jackson,BAL,QB,1,NYJ,7300,100,69.81395349,60.82322581,65.31858965,0.296,29.41347709,4.029243437
Kyler Murray,ARI,QB,1,KC,7200,100,66.20579065,66.6225,66.41414532,0.32,27.37531796,3.802127494
Aaron Rodgers,GB,QB,1,MIN,7000,100,63.12888889,63.70588235,63.41738562,0.338,26.83959208,3.83422744
Jalen Hurts,PHI,QB,1,DET,6800,100,63.19256757,62.06030769,62.62643763,0.327,28.01604236,4.12000623
